,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
0,,,12h20m43.03s,+17d47m34.3s,4742.0,2.7,19.0
1,,,15h17m05.89s,+71d49m26.0s,4213.0,2.78,29.79
2,,,23h31m17.42s,+39d14m10.3s,4813.0,2.2,11.0
3,,,16h10m24.31s,+43d49m03.5s,5338.0,0.9,0.93
4,,,19h41m51.97s,+50d31m03.1s,5750.0,1.08,1.13
5,,,20h58m25.94s,+10d50m21.4s,4979.0,2.3,8.5
6,,,16h09m30.30s,-21d04m58.9s,4060.0,0.85,
7,,,14h28m37.81s,+49d50m41.5s,4893.0,0.99,10.64
8,,,10h23m28.37s,-00d54m08.1s,5098.0,1.54,4.9
9,,,10h23m28.37s,-00d54m08.1s,5098.0,1.54,4.9
10,,,01h03m35.63s,-55d15m56.1s,,0.19,
11,,,01h22m50.94s,-24d39m50.6s,3530.0,0.4,
12,,,02h19m22.11s,-39d25m22.5s,3064.0,0.11,0.28
13,,,04h41m44.90s,+23d01m51.4s,,0.02,
14,,,12h07m33.47s,-39d32m54.0s,,0.02,
15,,,19h38m32.61s,+46d03m59.1s,,0.48,
16,46.2,,21h40m29.32s,+16d25m18.3s,2300.0,0.08,0.12
17,,,22h36m24.53s,+47d51m42.6s,4045.0,0.6,
18,,,02h36m57.74s,+24d38m53.0s,6331.0,1.93,1.41
19,,,08h40m12.82s,+64d19m40.6s,4415.0,1.23,18.11
20,,,18h25m59.14s,+65d33m48.5s,4200.0,0.98,22.03
21,,,10h59m27.97s,+40d25m48.9s,5892.0,1.03,1.23
22,,,10h59m27.97s,+40d25m48.9s,5892.0,1.03,1.23
23,,,10h59m27.97s,+40d25m48.9s,5892.0,1.03,1.23
24,133.0,,04h37m36.13s,-02d28m24.8s,,1.75,
25,,,22h57m27.98s,+20d46m07.8s,5793.0,1.12,1.2
26,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
27,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
28,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
29,83.3,6.4,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
30,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
31,,,06h30m47.11s,+58d09m45.5s,4938.0,1.44,5.2
32,,,13h18m24.32s,-18d18m40.3s,5577.0,0.94,0.96
33,,,13h18m24.32s,-18d18m40.3s,5577.0,0.94,0.96
34,,,13h18m24.32s,-18d18m40.3s,5577.0,0.94,0.96
35,90.0,,06h36m41.04s,-19d15m21.2s,4826.0,1.34,4.87
36,90.0,,06h36m41.04s,-19d15m21.2s,4826.0,1.34,4.87
37,,,13h28m25.81s,+13d46m43.6s,5495.0,1.09,1.89
38,,,02h32m09.42s,-01d02m05.6s,4846.0,2.49,10.5
39,,,14h56m48.35s,+74d54m03.3s,4847.0,1.44,10.3
40,,,02h37m41.80s,-03d23m46.2s,4785.0,2.4,11.0
41,,,23h15m53.50s,-09d05m15.9s,4665.0,1.4,11.0
42,,,06h19m12.91s,-58d03m15.5s,,,
43,,4.4,20h45m09.53s,-31d20m27.2s,3700.0,0.5,0.75
44,,,11h50m15.55s,+02d45m36.5s,4095.0,1.14,32.35
45,,,21h13m35.99s,+14d41m21.8s,4864.0,0.49,0.86
46,,,11h45m55.72s,+14d36m59.0s,4649.0,1.08,8.95
47,,,16h00m22.94s,+15d32m48.9s,4796.0,1.1,14.7
48,,,10h16m44.86s,+19d53m29.1s,4259.0,10.83,71.02
49,,,10h16m44.86s,+19d53m29.1s,4259.0,10.83,71.02
50,,,01h43m40.88s,+21d00m19.1s,4296.0,0.8,17.3
51,89.55,,03h34m36.23s,+20d35m57.2s,5766.0,1.67,1.08
52,,,02h42m50.45s,+49d35m13.1s,4414.0,0.74,11.0
53,,,02h42m58.22s,+48d55m48.2s,4534.0,1.09,10.33
54,,,03h02m33.73s,+49d43m48.0s,4943.0,1.52,7.6
55,,,05h53m00.28s,-05d59m41.4s,4324.0,0.7,
56,,,05h53m00.28s,-05d59m41.4s,4324.0,0.7,
57,,,10h00m47.72s,-09d31m00.0s,4816.0,0.5,0.71
58,,,10h00m47.72s,-09d31m00.0s,4816.0,0.5,0.71
59,,,10h58m28.80s,-10d46m13.4s,5393.0,1.47,0.91
60,,,18h33m28.84s,-11d38m09.7s,4550.0,0.65,0.64
61,,,18h33m28.84s,-11d38m09.7s,4550.0,0.65,0.64
62,,,07h37m09.23s,-13d54m23.9s,4545.0,2.12,19.17
63,,,00h28m34.31s,-16d13m34.8s,4714.0,0.74,0.69
64,,,14h58m29.00s,+10d13m43.0s,580.5,0.02,
65,,,11h06m28.77s,-77d37m33.2s,,0.35,
66,50.5,,04h33m52.01s,+22d50m30.1s,,0.9,
67,,,11h04m09.09s,-76d27m19.4s,,,
68,85.1,0.38,06h48m19.17s,-03d06m07.7s,5950.0,0.95,1.11
69,88.55,3.7,19h24m15.29s,+00d44m46.1s,5075.0,0.89,0.79
70,83.17,0.99,18h42m44.94s,+05d56m15.7s,6440.0,1.27,1.37
71,85.48,0.411,06h43m03.76s,-01d17m47.2s,5675.0,1.08,1.12
72,88.02,2.34,06h50m53.07s,-05d05m11.2s,5945.0,1.09,1.01
73,79.6,7.3,06h53m41.81s,-05d32m09.7s,6035.0,1.13,1.21
74,85.01,0.44,18h34m05.93s,-06d00m09.3s,5650.0,1.1,1.19
75,88.34,2.82,18h34m47.82s,-06d36m44.0s,5740.0,1.04,1.59
76,86.5,2.2,06h32m41.38s,-00d01m53.7s,5440.0,0.95,1.0
77,88.0,0.71,06h28m08.06s,-00d10m14.5s,6090.0,1.21,1.65
78,88.08,1.47,19h27m06.49s,+01d23m01.4s,5625.0,0.96,0.91
79,88.21,,06h30m52.90s,+00d13m36.9s,,1.14,
80,,,06h30m52.90s,+00d13m36.9s,,1.14,
81,86.8,1.36,06h44m12.588s,-00d17m56.868s,6200.0,1.29,1.95
82,89.749,0.249,18h42m40.11s,+06d13m08.9s,5939.0,1.1,1.14
83,85.7,3.0,18h39m07.83s,+04d21m28.1s,5900.0,1.14,1.61
84,86.5,0.9,06h47m41.41s,-03d43m09.5s,4950.0,0.91,0.86
85,89.0,1.3,06h47m41.41s,-03d43m09.5s,4950.0,0.91,0.86
86,84.5,0.15,18h42m31.12s,+06d30m49.8s,6040.0,1.09,1.19
87,86.8,0.28,18h39m00.12s,+06d58m11.2s,5590.0,1.09,1.79
88,86.7,12.6,18h33m59.00s,+05d32m18.5s,5900.0,1.05,1.08
89,88.1,0.69,18h34m45.20s,+05d34m25.4s,5150.0,1.01,1.78
90,87.3,1.45,18h35m36.50s,+06d28m46.7s,5260.0,0.97,0.9
91,85.9,26.4,19h28m13.26s,+00d07m18.6s,6740.0,1.37,1.56
92,90.0,3.45,18h30m24.264s,+06d50m09.424s,5650.0,0.98,0.91
93,83.2,0.33,06h19m16.975s,-04d25m20.194s,5700.0,1.25,2.15
94,90.0,0.525,06h48m46.72s,-00d40m22.0s,6190.0,1.16,1.17
95,85.83,0.217,06h45m06.54s,+00d48m54.9s,6100.0,1.0,1.19
96,89.07,2.32,18h44m17.41s,+06d39m47.5s,6090.0,1.05,1.02
97,80.1,,06h43m49.47s,-01d03m46.9s,5275.0,0.82,0.83
98,80.0,,06h43m49.47s,-01d03m46.9s,5275.0,0.82,0.83
99,88.4,1.6,19h26m21.24s,+01d25m35.2s,5080.0,0.88,0.77
100,89.9,0.86,18h43m08.81s,+06d12m15.0s,5625.0,0.96,0.96
101,89.0,1.1,06h40m46.84s,+09d15m26.8s,5970.0,1.08,0.79
102,86.0,,13h26m53.27s,+45d32m46.69s,,0.51,
103,56.6,,08h23m03.13s,-49d12m01.3s,,0.07,
104,,,04h29m41.56s,+26d32m58.3s,,0.33,0.27
105,,,05h47m06.27s,-10d37m48.8s,6196.0,1.21,1.26
106,,,05h47m06.27s,-10d37m48.8s,6196.0,1.21,1.26
107,,,05h47m06.27s,-10d37m48.8s,6196.0,1.21,1.26
108,,,05h47m06.27s,-10d37m48.8s,6196.0,1.21,1.26
109,,,01h49m37.89s,-34d27m32.9s,6500.0,1.44,1.78
110,,,06h06m29.85s,-72d30m45.6s,5138.0,0.87,0.91
111,,,11h17m16.00s,+17d57m41.1s,13500.0,,0.01
112,89.5,,23h39m39.48s,-69d11m44.7s,5428.0,1.01,0.96
113,,,11h58m49.42s,-03d23m21.8s,,0.41,
114,,,11h15m44.79s,+00d29m17.2s,,0.78,
115,,,12h20m45.19s,+02d16m56.8s,,1.07,
116,,,11h40m23.34s,+04d33m26.4s,,0.67,
117,,,11h17m56.07s,+05d59m18.2s,,0.61,
118,,,11h40m49.63s,+06d08m05.5s,,0.8,
119,89.81,,22h12m26.37s,-16d20m30.3s,5502.7,0.88,0.83
120,,,22h05m06.53s,-14d07m18.0s,,0.93,
121,,,22h44m57.77s,-13d54m03.3s,,0.22,
122,,,22h30m03.26s,-13d36m36.4s,,0.56,
123,,,22h20m22.76s,-09d30m34.3s,,0.41,
124,,,22h30m28.22s,-07d58m20.7s,,0.71,
125,89.73,,08h41m38.49s,+17d38m24.0s,4148.21,0.66,0.57
126,,,09h06m17.75s,+19d24m08.1s,6069.0,1.17,1.39
127,,,13h48m49.49s,-17d36m35.7s,,0.83,
128,,,13h29m19.54s,-14d21m34.1s,,1.11,
129,,,13h29m57.30s,-12d44m05.0s,,0.91,
130,,,13h41m46.73s,-10d51m44.8s,,0.95,
131,89.071,,13h36m53.21s,-07d19m05.3s,4684.0,0.69,0.67
132,89.63,,13h36m53.21s,-07d19m05.3s,4684.0,0.69,0.67
133,,,00h53m43.68s,+07d59m43.1s,,0.94,
134,,,00h52m19.15s,+10d47m40.9s,5617.0,0.97,0.98
135,,,00h52m19.15s,+10d47m40.9s,5617.0,0.97,0.98
136,86.21,3.1,05h15m40.74s,+16d16m43.5s,6202.0,1.32,1.59
137,89.87,,10h37m33.42s,+11d50m33.8s,4898.0,0.9,2.7
138,86.14,6.39,15h12m59.57s,-16d43m28.3s,5430.0,1.05,1.71
139,87.94,1.62,15h12m59.57s,-16d43m28.3s,5430.0,1.05,1.71
140,89.47,0.91,15h12m59.57s,-16d43m28.3s,5430.0,1.05,1.71
141,,,04h23m35.74s,+25d02m59.6s,2838.0,0.05,
142,88.57,,08h58m52.35s,+21d04m33.8s,3348.0,0.29,0.31
143,,,03h35m59.72s,-44d30m45.5s,2953.0,0.12,0.16
144,,,03h35m59.72s,-44d30m45.5s,2953.0,0.12,0.16
145,,,03h35m59.72s,-44d30m45.5s,2953.0,0.12,0.16
146,,6.3,10h14m51.78s,-47d09m24.2s,3270.0,0.18,0.21
147,,,10h14m51.78s,-47d09m24.2s,3270.0,0.18,0.21
148,,,11h41m44.63s,+42d45m07.1s,3264.0,0.35,0.4
149,,,11h41m44.63s,+42d45m07.1s,3264.0,0.35,0.4
150,88.17,1.49,17h15m18.92s,+04d57m50.1s,3026.0,0.15,0.22
151,85.0,,20h27m42.06s,-56d27m25.2s,3458.0,0.38,0.39
152,,,22h13m42.88s,-17d41m08.8s,3236.0,0.18,0.19
153,89.33,7.0,03h26m59.22s,-63d29m56.8s,4640.0,0.73,0.69
154,,,00h18m22.89s,+44d01m22.6s,3607.0,0.38,0.38
155,,,00h18m22.89s,+44d01m22.6s,3607.0,0.38,0.38
156,,,04h06m34.84s,-20d51m11.2s,4347.0,0.69,
157,,,04h09m15.67s,-53d22m25.3s,3500.0,0.4,
158,,,04h09m15.67s,-53d22m25.3s,3500.0,0.4,
159,,,04h09m15.67s,-53d22m25.3s,3500.0,0.4,
160,,,04h52m05.73s,+06d28m35.5s,3370.0,0.36,0.38
161,,,04h53m49.98s,-17d46m24.3s,,0.43,
162,,,04h53m49.98s,-17d46m24.3s,,0.43,
163,,,04h53m49.98s,-17d46m24.3s,,0.43,
164,,,07h12m04.81s,-24d53m31.5s,,0.62,
165,,,06h10m34.62s,-21d51m52.7s,,0.58,
166,,,06h10m34.62s,-21d51m52.7s,,0.58,
167,,,00h39m58.82s,-44d15m11.6s,3542.0,0.53,
168,,,07h27m24.50s,+05d13m32.8s,3382.0,0.29,0.29
169,,,07h27m24.50s,+05d13m32.8s,3382.0,0.29,0.29
170,,,00h16m12.68s,-79d51m04.3s,5540.0,0.9,0.9
171,,,01h14m34.20s,-53d56m31.6s,,0.47,
172,,,02h09m10.90s,-16d20m22.5s,3717.0,0.68,0.5
173,,,02h09m10.90s,-16d20m22.5s,3717.0,0.68,0.5
174,,,02h09m10.90s,-16d20m22.5s,3717.0,0.68,0.5
175,,,08h40m59.22s,-23d27m22.6s,,0.42,
176,,,08h40m59.22s,-23d27m22.6s,,0.42,
177,,,08h55m07.62s,+01d32m47.4s,3900.0,0.69,
178,,,04h28m35.72s,-25d10m09.5s,3466.0,0.42,0.4
179,,,04h28m35.72s,-25d10m09.5s,3466.0,0.42,0.4
180,,,04h28m35.72s,-25d10m09.5s,3466.0,0.42,0.4
181,,,04h28m35.72s,-25d10m09.5s,3466.0,0.42,0.4
182,,,05h01m57.43s,-06d56m46.5s,3159.0,0.16,0.12
183,,,05h01m57.43s,-06d56m46.5s,3159.0,0.16,0.12
184,,,05h15m46.72s,-31d17m45.4s,3526.0,0.47,0.44
185,,,09h14m24.70s,+52d41m10.9s,4005.0,0.64,0.58
186,89.13,0.8,07h59m05.84s,+15d23m29.4s,3600.0,0.54,0.55
187,,,08h41m20.13s,+59d29m50.6s,3081.0,0.12,0.14
188,89.12,5.6,09h36m01.64s,-21d39m38.9s,3505.0,0.34,0.34
189,,,09h36m01.64s,-21d39m38.9s,3505.0,0.34,0.34
190,,,09h36m01.64s,-21d39m38.9s,3505.0,0.34,0.34
191,59.0,,10h58m35.10s,-31d08m38.4s,,0.45,0.43
192,,,13h22m56.74s,+24d28m03.5s,3324.0,0.27,0.28
193,,,16h09m03.14s,+52d56m37.9s,3867.0,0.63,0.61
194,,,17h16m00.64s,+11d03m27.6s,3722.0,0.5,0.49
195,,,17h16m00.64s,+11d03m27.6s,3722.0,0.5,0.49
196,,,11h03m20.19s,+35d58m11.6s,3563.0,0.39,0.39
197,,,11h16m00.21s,-57d32m51.6s,,0.35,
198,,,22h25m17.05s,+59d24m49.8s,3387.0,0.41,0.41
199,,,11h35m26.95s,-32d32m23.9s,,0.48,
200,,,11h35m26.95s,-32d32m23.9s,,0.48,
201,,,11h35m26.95s,-32d32m23.9s,,0.48,
202,86.44,1.8,11h42m11.09s,+26d42m23.7s,,0.47,0.46
203,,,12h38m52.44s,+11d41m46.2s,,0.45,
204,,,13h16m46.52s,+09d25m27.0s,6234.0,1.22,
205,,,14h01m03.19s,-02d39m17.5s,3685.0,0.52,0.5
206,,,15h19m26.82s,-07d43m20.2s,,0.31,0.29
207,,,15h19m26.82s,-07d43m20.2s,,0.31,0.29
208,,,15h19m26.82s,-07d43m20.2s,,0.31,0.29
209,,,16h25m24.62s,+54d18m14.8s,3499.0,0.3,0.31
210,,,16h58m08.85s,+25d44m39.0s,3700.0,0.54,
211,,,17h18m58.82s,-34d59m48.6s,3350.0,0.33,
212,,,17h18m58.82s,-34d59m48.6s,3350.0,0.33,
213,,,17h18m58.82s,-34d59m48.6s,3350.0,0.33,
214,,,17h18m58.82s,-34d59m48.6s,3350.0,0.33,
215,,,17h18m58.82s,-34d59m48.6s,3350.0,0.33,
216,,,17h28m39.95s,-46d53m42.7s,3600.0,0.35,
217,,,17h30m11.21s,-51d38m13.1s,3734.0,0.73,0.69
218,,,17h30m11.21s,-51d38m13.1s,3734.0,0.73,0.69
219,,,17h30m11.21s,-51d38m13.1s,3734.0,0.73,0.69
220,,,17h30m11.21s,-51d38m13.1s,3734.0,0.73,0.69
221,,,17h37m03.66s,-44d19m09.2s,3028.0,0.27,
222,,,17h37m03.66s,-44d19m09.2s,3028.0,0.27,
223,,,17h35m34.48s,+61d40m53.6s,3816.0,0.55,0.54
224,,,17h36m25.90s,+68d20m20.9s,,0.4,
225,,,17h36m25.90s,+68d20m20.9s,,0.4,
226,,,21h33m33.98s,-49d00m32.4s,3472.0,0.45,
227,,,21h33m33.98s,-49d00m32.4s,3472.0,0.45,
228,,,22h09m40.35s,-04d38m26.6s,3241.0,0.65,0.53
229,,,02h10m25.93s,-50d49m25.4s,5182.0,0.93,0.77
230,59.0,,22h53m16.74s,-14d15m49.3s,,0.32,0.3
231,59.0,,22h53m16.74s,-14d15m49.3s,,0.32,0.3
232,59.0,,22h53m16.74s,-14d15m49.3s,,0.32,0.3
233,59.0,,22h53m16.74s,-14d15m49.3s,,0.32,0.3
234,,,23h05m52.04s,-35d51m11.0s,3688.0,0.49,0.47
235,,,23h05m52.04s,-35d51m11.0s,3688.0,0.49,0.47
236,,,02h00m12.96s,+13d03m07.1s,,0.15,
237,,,02h00m12.96s,+13d03m07.1s,,0.15,
238,,,02h22m14.64s,+47d52m48.1s,3785.0,0.6,
239,86.07,6.93,23h27m04.83s,-01d17m10.6s,4340.0,0.61,0.6
240,88.19,2.42,23h27m04.83s,-01d17m10.6s,4340.0,0.61,0.6
241,87.443,2.69,23h27m04.83s,-01d17m10.6s,4340.0,0.61,0.6
242,,,15h49m12.10s,-35d39m05.1s,,0.7,
243,,,16h21m54.67s,-20d43m09.1s,4200.0,0.9,
244,,,01h12m35.04s,+17d03m55.7s,,0.33,
245,,,10h02m21.75s,+48d05m19.7s,3879.0,0.56,0.56
246,,,01h02m38.87s,+62d20m42.2s,3805.0,0.52,0.51
247,,,17h37m53.35s,+18d35m30.2s,3663.0,0.42,0.42
248,85.634,0.282,22h57m46.83s,+38d40m29.8s,5980.0,1.15,1.17
249,,,19h50m50.24s,+48d04m51.1s,4780.0,0.81,0.68
250,,,19h50m50.24s,+48d04m51.1s,4780.0,0.81,0.68
251,89.0,0.3192,13h57m33.48s,+43d29m36.7s,4650.0,0.73,0.7
252,83.4,,08h39m31.81s,+47d21m07.4s,5653.0,1.22,1.56
253,,,08h39m31.81s,+47d21m07.4s,5653.0,1.22,1.56
254,83.5,,17h20m27.88s,+38d14m31.8s,6600.0,2.65,1.82
255,89.1,,04h24m59.53s,+39d27m38.3s,5568.0,1.0,1.07
256,86.6,2.42,00h38m17.56s,+42d27m47.1s,6158.0,1.22,1.24
257,89.2,,21h38m08.74s,+30d29m19.4s,5246.0,0.99,0.87
258,,,21h38m08.74s,+30d29m19.4s,5246.0,0.99,0.87
259,88.8,0.25,17h05m23.15s,+33d00m45.0s,4803.0,0.77,0.75
260,88.2,0.25,00h38m04.02s,+34d42m41.7s,4990.0,0.84,0.82
261,,,16h20m36.36s,+41d02m53.1s,6380.0,1.33,1.39
262,86.8,13.78,07h27m39.95s,+24d20m11.9s,4595.0,0.76,0.69
263,87.2,,11h25m05.99s,+41d01m40.6s,5588.0,1.24,1.21
264,86.9,,10h22m43.61s,+50d07m42.0s,5302.0,1.13,1.11
265,85.1,,20h24m29.72s,+16d45m43.7s,5905.0,0.58,0.96
266,88.6,,07h15m18.01s,+14d15m45.4s,6373.0,1.37,1.38
267,88.22,0.483,03h13m44.50s,+25d11m50.7s,5519.0,1.01,0.92
268,88.6,,14h12m37.53s,+04d03m36.0s,5079.0,1.12,0.87
269,85.0,,14h51m04.18s,+05d56m50.5s,5300.0,0.94,0.9
270,88.0,0.44,00h52m00.18s,+34d43m42.3s,5680.0,1.02,1.1
271,87.1,,02h12m31.47s,+51d46m43.5s,6087.0,1.45,1.3
272,87.24,,13h44m22.59s,+48d01m43.2s,5185.0,1.06,0.87
273,83.6,,08h15m47.97s,+05d50m12.2s,6304.0,1.55,1.31
274,87.1,,18h06m09.05s,+26d25m36.0s,6065.0,1.31,1.39
275,88.98,0.108,02h04m10.28s,+46d41m16.2s,6001.0,1.13,1.37
276,87.2,,07h32m44.21s,+33d50m06.2s,6446.0,1.82,1.79
277,87.1,2.5,20h12m46.88s,+18d06m17.5s,6442.0,1.39,1.53
278,87.3,0.55,08h13m00.18s,+04d47m13.3s,6096.0,1.24,1.44
279,87.13,1.175,12h33m03.90s,+44d54m55.3s,5620.0,1.03,1.04
280,86.9,0.89,18h57m11.06s,+51d16m08.9s,5500.0,0.93,0.88
281,88.3,0.59,02h21m31.98s,+32d14m46.1s,5330.0,0.89,0.92
282,87.0,0.19,07h35m01.98s,+17d49m48.3s,6430.0,1.4,1.62
283,89.91,0.403,15h19m57.92s,+36d13m46.8s,5860.0,,
284,88.3,,22h22m03.09s,+45d27m26.6s,6080.0,1.03,1.94
285,87.7,,19h49m17.44s,+04d40m20.7s,6390.0,2.56,2.05
286,85.9,0.61,09h01m22.65s,+06d05m50.0s,5743.0,1.18,1.53
287,88.7,0.39,08h35m42.18s,+10d12m24.0s,5645.0,1.05,1.1
288,89.1,0.23,14h12m34.58s,+47d00m52.9s,5295.0,0.94,0.95
289,,,14h12m34.58s,+47d00m52.9s,5295.0,0.94,0.95
290,87.8,0.38,18h17m29.58s,-03d22m51.7s,6330.0,1.26,1.32
291,85.5,0.28,18h01m46.61s,-02d58m15.4s,6120.0,1.28,1.4
292,86.2,,20h21m45.94s,+26d41m33.5s,6820.0,2.22,2.06
293,86.75,,18h17m37.31s,+36d37m17.1s,5960.0,1.04,1.12
294,83.65,0.78,07h52m15.22s,+12d08m21.9s,6280.0,1.27,1.7
295,88.48,0.178,01h24m15.65s,+32d48m38.8s,5449.0,0.98,1.04
296,87.02,0.98,02h50m53.20s,+29d01m20.6s,5131.0,0.89,0.89
297,86.2,0.8,01h27m29.07s,+38d58m05.3s,5956.0,1.09,1.21
298,87.04,1.118,06h39m35.52s,+25d28m57.1s,4390.0,0.65,0.62
299,87.7,0.435,17h37m05.63s,+25d43m52.3s,5808.0,1.01,1.01
300,82.13,,06h43m23.53s,+27d15m08.3s,6566.0,1.42,1.47
301,88.26,,18h18m58.42s,+10d35m50.3s,6330.0,2.77,1.85
302,85.51,,23h39m05.81s,+42d27m57.5s,6570.0,1.79,1.62
303,84.2,0.096,21h03m37.32s,+11d59m21.9s,5835.0,1.21,1.86
304,86.2,0.242,10h02m17.43s,+53d57m03.1s,6002.0,1.25,1.88
305,88.8,0.052,17h06m26.56s,+44d46m37.1s,6406.0,1.64,2.55
306,87.19,1.02,08h42m01.353s,+03d42m38.038s,7394.0,1.65,1.93
307,83.11,,19h28m59.35s,+47d58m10.2s,6389.0,1.56,2.0
308,96.5,1.54,04h58m12.560s,+09d59m52.726s,8450.0,1.89,1.86
309,87.8,,22h52m09.86s,+35d26m49.6s,6200.0,1.27,1.57
310,86.44,0.342,07h20m40.45s,+37d08m26.3s,6350.0,1.28,1.34
311,85.6,1.03,11h42m06.08s,-23d21m17.4s,5870.0,0.99,1.04
312,87.79,0.7,19h37m13.64s,-22d12m16.1s,5880.0,1.1,1.1
313,,,19h17m36.18s,-22d23m23.7s,6563.0,1.33,1.54
314,,,19h16m48.57s,-19d21m21.3s,6357.0,1.16,1.17
315,88.55,0.377,21h07m50.75s,-26d05m48.0s,5523.0,0.96,0.89
316,88.83,1.191,20h52m51.71s,-25d41m14.4s,5346.0,0.97,0.93
317,87.13,1.97,20h44m22.07s,-19d26m15.0s,5311.0,0.87,0.92
318,83.53,1.86,23h54m14.09s,-30d00m46.8s,5738.0,0.97,1.24
319,89.08,3.5,12h48m45.55s,-47d36m49.3s,5846.0,1.13,1.09
320,85.29,1.1169,11h35m49.78s,-29d09m21.6s,5600.0,1.04,1.02
321,87.2,1.05,11h46m57.38s,-22d33m46.8s,5227.0,0.88,0.9
322,87.96,3.89,11h36m02.33s,-29d32m35.9s,4803.0,0.76,0.69
323,81.02,0.29,19h05m28.01s,-50d04m02.5s,5780.0,1.12,1.2
324,85.97,1.03,17h55m33.76s,-61d44m50.3s,6125.0,1.07,1.12
325,86.93,0.38,13h51m37.87s,-23d46m52.2s,5715.0,0.99,1.11
326,86.2,0.153,09h39m42.45s,-28d35m08.1s,6071.0,1.3,2.04
327,87.3,0.18,12h54m12.61s,-46d35m15.8s,6438.0,1.42,1.74
328,86.17,0.48,18h57m35.92s,-49d08m18.5s,5498.0,0.93,0.92
329,87.37,0.411,19h00m23.14s,-54d53m35.5s,5670.0,1.03,1.07
330,86.2,0.51,20h49m49.79s,-24d25m43.7s,6351.0,1.21,1.4
331,86.84,0.543,00h22m28.49s,-59d56m33.2s,5943.0,1.09,1.06
332,85.0,0.243,12h46m48.67s,-24d25m38.5s,6050.0,1.27,1.87
333,87.1,0.58,23h04m18.02s,-21d16m19.0s,5700.0,1.1,1.1
334,87.62,0.79,19h38m32.07s,-55d19m48.4s,5659.0,1.06,1.02
335,82.28,0.4,00h03m05.88s,-62d28m09.6s,5380.0,0.95,0.98
336,86.9,0.484,19h46m45.18s,-63d33m56.2s,6300.0,1.32,1.43
337,,,19h25m54.89s,-23d12m10.1s,5950.0,1.1,1.1
338,89.33,0.55,13h19m12.4637s,-22d59m12.7306s,5326.0,0.84,0.88
339,87.21,0.403,10h17m05.0796s,-25d16m34.5568s,5732.0,0.89,1.1
340,84.98,0.202,07h29m40.63s,-29d56m16.4s,6572.0,1.38,1.62
341,88.5,1.55,06h16m26.90s,-22d32m48.8s,5403.0,1.0,0.93
342,85.8,0.49,06h42m17.10s,-29d46m36.5s,6460.0,1.56,2.26
343,80.4,5.1,06h54m04.18s,-27d03m01.4s,6424.0,1.5,1.71
344,85.1,0.83,07h13m48.58s,-33d26m14.4s,6060.0,1.27,1.48
345,89.24,0.191,05h22m09.16s,-30d58m15.0s,5099.0,0.84,0.81
346,84.65,0.56,05h37m18.41s,-27d58m21.4s,5080.0,0.86,0.85
347,85.61,0.41,06h47m58.63s,-21d54m38.5s,6450.0,1.27,1.31
348,87.32,0.28,00h26m48.58s,-56d18m58.0s,5495.0,0.92,0.85
349,87.08,0.331,19h09m56.2504s,-49d39m53.868s,4512.0,0.67,0.66
350,89.58,0.589,19h14m41.2748s,-59d34m45.7571s,4546.0,0.73,0.72
351,88.27,0.986,00h26m27.1829s,-56d20m39.5352s,4405.0,0.71,0.7
352,89.3,0.39,04h28m53.49s,-21d28m54.9s,5304.0,0.94,0.87
353,87.54,0.33,20h01m42.60s,-26d04m39.3s,5990.0,1.17,1.12
354,87.1,0.34,06h51m23.40s,-29d03m31.0s,5758.0,1.19,1.44
355,84.7,1.06,09h20m21.05s,-31d16m09.6s,6010.0,1.11,1.05
356,88.78,0.303,11h46m30.72s,-33d51m36.2s,5644.0,0.96,1.1
357,83.08,0.77,13h22m32.3724s,-44d41m19.6988s,5702.0,1.1,1.32
358,86.32,0.587,07h37m08.0194s,-32d45m19.5158s,6214.0,1.2,1.13
359,83.29,0.155,12h00m39.6300s,-45d47m57.9955s,6536.0,1.57,2.2
360,87.88,2.65,04h03m47.6005s,-19d03m24.3267s,5587.0,1.03,0.96
361,85.69,0.96,12h27m08.9729s,-48d58m42.2278s,7175.0,1.46,1.43
362,88.1,0.7,11h21m18.00s,-22d23m17.4s,5670.0,1.04,1.04
363,,,11h21m18.00s,-22d23m17.4s,5670.0,1.04,1.04
364,88.21,0.399,05h52m35.23s,-19d01m54.0s,3724.0,0.57,0.57
365,86.28,0.537,22h45m27.3643s,-14d59m30.3457s,5688.0,1.1,1.46
366,87.15,2.47,04h06m37.8676s,-25d20m58.9560s,5542.0,1.08,1.66
367,87.92,0.076,20h49m47.8333s,-24d18m12.4965s,5416.0,0.9,0.93
368,84.86,0.67,04h29m40.4529s,-28d11m50.2340s,5627.0,0.93,1.07
369,87.24,0.245,09h37m09.0299s,-29d48m01.5746s,6554.0,1.56,2.11
370,84.82,0.3,19h31m45.5518s,-26d44m24.7250s,6277.0,1.26,1.31
371,87.06,2.34,06h45m34.7574s,-33d52m54.1300s,6626.0,1.41,1.84
372,79.03,0.374,12h00m50.1183s,-46d08m11.1247s,6594.0,1.44,1.44
